"tip.label","species","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145"
"Etmopterus_sculptus","Etmopterus sculptus",26.2016817777369,24.3693515519623,13.5652130401623,689.3,730,0,0,2.39424374874181,2.24643419140047,1.67705314422119,621.06,641.5,0,0,0.578128071713642,0.585705780284626,0.212549598249106,425.91,429.5,0,0
"Malacoraja_spinacidermis","Malacoraja spinacidermis",25.0186705174426,23.574756292896,9.34053699056866,689.87,701,0,0,1.60885962058906,1.47595200934198,1.09862251466627,835.52,858,0,0,0.260896913601729,0.25468010064507,0.085812009521326,911.5,932.5,0,0
"Rhizoprionodon_lalandii","Rhizoprionodon lalandii",24.1712521064266,24.906328852294,5.37458441787092,690.21,656.5,0,0,1.71985893178876,1.77274285419537,0.847192665216318,786.6,782.5,0,0,0.27954328135927,0.282151055746799,0.0802454082843409,832.01,821.5,0,0
"Fenestraja_maceachrani","Fenestraja maceachrani",25.1616296972552,23.128393547508,10.6643309559443,690.9,711.5,0,0,1.77823441315756,1.05029125042094,1.67720761502568,828.62,906,0,0,0.26961875144627,0.238874397180521,0.120423796289372,907.88,967.5,0,0
"Squatina_albipunctata","Squatina albipunctata",24.1809841164987,24.9585836806775,5.20266523687101,691.3,694,0,0,3.75740384486494,3.75470224088015,1.06117198009775,381.6,379,0,0,1.18607756275126,1.24347452551233,0.374223293767071,212.61,220.5,0,0
"Triaenodon_obesus","Triaenodon obesus",24.7003007085099,23.9368895341468,8.70237705161153,691.54,657.5,0,0,0.896338610316673,0.940122300208259,0.250442994971666,980.59,970,0,0,0.24798967233903,0.253311001667616,0.061179714720771,963.08,955,0,0
"Torpedo_bauchotae","Torpedo bauchotae",25.3494445918189,22.8055656583415,11.101605095256,692.17,693.5,0,0,2.69797788489149,2.51604010163513,0.773832020458737,531.45,564,0,0,0.662529123950398,0.654501711134372,0.103900604766208,362.47,380,0,0
"Scyliorhinus_stellaris","Scyliorhinus stellaris",24.3008177912076,24.4187540563762,6.78736953551126,692.27,640,0,0,2.66072403293683,2.69440047286286,0.860618978018567,526.35,522,0,0,0.683890701180203,0.717763471489644,0.271162669481496,369.67,358.5,0,0
"Urotrygon_microphthalmum","Urotrygon microphthalmum",25.3133037888393,22.264065223673,10.8331950225936,692.66,702.5,0,0,2.10737588922933,2.00394383367424,0.722954254190926,651.72,671.5,0,0,0.296761950614119,0.288002664480632,0.067089799517339,735.25,760.5,0,0
"Etmopterus_litvinovi","Etmopterus litvinovi",25.4543691503328,23.651274231127,12.5981445835809,693.51,723,1,0.01,2.45575931585671,2.24105663648581,2.27737787304071,623.86,644,0,0,0.580081395373297,0.586757501656612,0.228075135608734,423.73,435.5,0,0
"Etmopterus_molleri","Etmopterus molleri",24.2306382831198,24.3012774268745,6.62942307267083,693.78,670.5,0,0,2.29637361005854,2.43820727601859,0.90998561676987,611.29,622,0,0,0.577098868092118,0.58548917547738,0.194597192555296,419.98,418,0,0
"Parmaturus_xaniurus","Parmaturus xaniurus",24.9667195502454,23.480890568067,9.58856106806753,695.59,702,0,0,2.08199852679476,2.2288267142232,0.9148830625326,672.35,664,0,0,0.318125558609365,0.313860465375199,0.100560309234378,686.45,666.5,0,0
"Neoraja_iberica","Neoraja iberica",25.1089214591306,22.8589969371853,9.90723051930538,696.17,718.5,0,0,1.54136543862315,1.4128097543886,0.919480080494589,847.28,865,0,0,0.259558533470179,0.252982848988965,0.0800764471941082,912.94,936,0,0
"Torpedo_tokionis","Torpedo tokionis",24.9643545203866,22.3712429383337,9.50218943771851,696.57,748.5,0,0,2.53243670420114,2.39905404334472,0.552000856556668,559.3,620.5,0,0,0.649265487355808,0.629999353118023,0.100072200686868,372.06,396.5,0,0
"Parmaturus_bigus","Parmaturus bigus",25.1762870896076,23.5359214772461,10.5088939301648,697.68,708,0,0,2.09764854876581,2.18302630812023,0.962727345344218,671.18,657.5,0,0,0.318232556591618,0.312497132111832,0.10108194857726,687.98,668.5,0,0
"Fenestraja_mamillidens","Fenestraja mamillidens",25.314703956676,22.088804681368,11.471503542392,699.68,726.5,0,0,1.7988982622881,1.0531566312281,1.56570829282957,820.54,906.5,0,0,0.267203718315384,0.23783230416344,0.10682658407633,906.74,968,0,0
"Urolophus_neocaledoniensis","Urolophus neocaledoniensis",26.6646120513539,21.3321310676037,16.6804648212903,699.97,767,2,0.02,2.99716086969135,2.19465191549714,2.72998032490756,568.37,663.5,0,0,0.354890954381686,0.340407272100187,0.101645631562592,586.03,585,0,0
"Urotrygon_aspidura","Urotrygon aspidura",25.0498588468628,23.5657655179712,10.199561187473,700.77,714,0,0,2.09016276044853,2.0158885805919,0.591549698036637,653.58,687,0,0,0.29635772260747,0.291036635651815,0.0639057937241145,734.66,758,0,0
"Etmopterus_pycnolepis","Etmopterus pycnolepis",24.8832597469251,23.0702924380508,10.2490563648038,701.76,720.5,0,0,2.17503281004968,2.31356576877178,0.838251382196925,642.46,663.5,0,0,0.565863581477269,0.580115845212495,0.187061505031976,428.47,426,0,0
