"Rank_ED","species_tree","species","ED"
311,"Myliobatis_chilensis","Myliobatis chilensis",40.4344318827073
312,"Pristiophorus_nudipinnis","Pristiophorus nudipinnis",40.3991475897835
313,"Pristiophorus_schroederi","Pristiophorus schroederi",40.3991475897835
314,"Gurgesiella_furvescens","Gurgesiella furvescens",40.2115873096812
315,"Negaprion_acutidens","Negaprion acutidens",40.1933976283651
316,"Negaprion_brevirostris","Negaprion brevirostris",40.1933976283651
317,"Parascyllium_collare","Parascyllium collare",40.1535983427496
318,"Rhinoptera_jayakari","Rhinoptera jayakari",40.1447566161346
319,"Rhinoptera_steindachneri","Rhinoptera steindachneri",40.1447566161346
320,"Etmopterus_lucifer","Etmopterus lucifer",40.0741351943962
321,"Anacanthobatis_longirostris","Anacanthobatis longirostris",40.0167796074697
322,"Atelomycterus_marnkalha","Atelomycterus marnkalha",39.7938626417807
323,"Pteromylaeus_bovinus","Pteromylaeus bovinus",39.6865587531752
324,"Pteromylaeus_asperrimus","Pteromylaeus asperrimus",39.6865587531752
325,"Chimaera_panthera","Chimaera panthera",39.53059411336
326,"Hydrolagus_bemisi","Hydrolagus bemisi",39.53059411336
327,"Pastinachus_stellurostris","Pastinachus stellurostris",39.4690060066488
328,"Pastinachus_solocirostris","Pastinachus solocirostris",39.4690060066488
329,"Rhinobatos_horkelii","Rhinobatos horkelii",39.4641585141553
330,"Acroteriobatus_zanzibarensis","Acroteriobatus zanzibarensis",39.4641585141553
331,"Centrophorus_granulosus","Centrophorus granulosus",39.3454533843285
332,"Centrophorus_tessellatus","Centrophorus tessellatus",39.3454523843285
333,"Hydrolagus_colliei","Hydrolagus colliei",39.2914552019217
334,"Carcharhinus_fitzroyensis","Carcharhinus fitzroyensis",39.1048384469485
335,"Orectolobus_japonicus","Orectolobus japonicus",38.9705093898986
336,"Orectolobus_maculatus","Orectolobus maculatus",38.9705093898986
337,"Trygonoptera_mucosa","Trygonoptera mucosa",38.968478772604
338,"Trygonoptera_imitata","Trygonoptera imitata",38.968478772604
339,"Atelomycterus_fasciatus","Atelomycterus fasciatus",38.9450633097807
340,"Atelomycterus_macleayi","Atelomycterus macleayi",38.9450633097807
341,"Rhinobatos_sainsburyi","Rhinobatos sainsburyi",38.7525348091553
342,"Rhinobatos_percellens","Rhinobatos percellens",38.7525348091553
343,"Dasyatis_chrysonota","Dasyatis chrysonota",38.56967245426
344,"Somniosus_antarcticus","Somniosus antarcticus",38.4673616202366
345,"Somniosus_pacificus","Somniosus pacificus",38.4673616202366
346,"Narcine_bicolor","Narcine bicolor",38.3837384640914
347,"Narcine_entemedor","Narcine entemedor",38.3837384640914
348,"Myliobatis_aquila","Myliobatis aquila",38.2968360829073
349,"Halaelurus_natalensis","Halaelurus natalensis",38.2135986175852
350,"Halaelurus_lineatus","Halaelurus lineatus",38.2135986175852
351,"Diplobatis_colombiensis","Diplobatis colombiensis",38.1751227685512
352,"Euprotomicroides_zantedeschia","Euprotomicroides zantedeschia",38.1709546609094
353,"Euprotomicrus_bispinatus","Euprotomicrus bispinatus",38.1709546609094
354,"Apristurus_internatus","Apristurus internatus",38.1003749055862
355,"Cephalurus_cephalus","Cephalurus cephalus",38.0502144732634
356,"Raja_inornata","Raja inornata",38.0419292326825
357,"Scymnodalatias_sherwoodi","Scymnodalatias sherwoodi",37.9058603525744
358,"Scymnodalatias_albicauda","Scymnodalatias albicauda",37.9058603525744
359,"Parascyllium_variolatum","Parascyllium variolatum",37.888421178083
360,"Urobatis_tumbesensis","Urobatis tumbesensis",37.8369033133206
361,"Urobatis_jamaicensis","Urobatis jamaicensis",37.8369033133206
362,"Oxynotus_bruniensis","Oxynotus bruniensis",37.7658588210464
363,"Oxynotus_paradoxus","Oxynotus paradoxus",37.7658588210464
364,"Urolophus_flavomosaicus","Urolophus flavomosaicus",37.7588829007404
365,"Urolophus_bucculentus","Urolophus bucculentus",37.7588829007404
366,"Acroteriobatus_blochii","Acroteriobatus blochii",37.7259278145774
367,"Urogymnus_asperrimus","Urogymnus asperrimus",37.599531037383
368,"Urogymnus_ukpam","Urogymnus ukpam",37.599531037383
369,"Rioraja_agassizii","Rioraja agassizii",37.5367941348146
370,"Potamotrygon_constellata","Potamotrygon constellata",37.5195661581393
371,"Dasyatis_colarensis","Dasyatis colarensis",37.4855177942812
372,"Benthobatis_moresbyi","Benthobatis moresbyi",37.3413307308941
373,"Dasyatis_rudis","Dasyatis rudis",37.24857335776
374,"Dasyatis_pastinaca","Dasyatis pastinaca",37.24857235776
375,"Pristiophorus_delicatus","Pristiophorus delicatus",37.1105898521168
376,"Pristiophorus_nancyae","Pristiophorus nancyae",37.1105898521168
377,"Hydrolagus_homonycteris","Hydrolagus homonycteris",37.0188491329217
378,"Hydrolagus_eidolon","Hydrolagus eidolon",37.0188491329217
379,"Chimaera_owstoni","Chimaera owstoni",36.9839995465365
380,"Rhynchobatus_luebberti","Rhynchobatus luebberti",36.9621576487613
381,"Mobula_mobular","Mobula mobular",36.9132200342634
382,"Mobula_diabolus","Mobula diabolus",36.9132200342634
383,"Asymbolus_pallidus","Asymbolus pallidus",36.9044834006446
384,"Chimaera_opalescens","Chimaera opalescens",36.8586377681933
385,"Etmopterus_evansi","Etmopterus evansi",36.8549953859773
386,"Etmopterus_hillianus","Etmopterus hillianus",36.8549953859773
387,"Apristurus_macrorhynchus","Apristurus macrorhynchus",36.5216387600862
388,"Apristurus_japonicus","Apristurus japonicus",36.5144406350148
389,"Hydrolagus_barbouri","Hydrolagus barbouri",36.498276323255
390,"Chimaera_argiloba","Chimaera argiloba",36.498276323255
391,"Scoliodon_macrorhynchos","Scoliodon macrorhynchos",36.3840230406318
392,"Scoliodon_laticaudus","Scoliodon laticaudus",36.3840230406318
393,"Eridacnis_barbouri","Eridacnis barbouri",36.1252413630686
394,"Myliobatis_freminvillei","Myliobatis freminvillei",36.0988804587906
395,"Myliobatis_longirostris","Myliobatis longirostris",36.0988804587906
396,"Centroscymnus_owstonii","Centroscymnus owstonii",35.9884413252744
397,"Parascyllium_ferrugineum","Parascyllium ferrugineum",35.829648774083
398,"Parascyllium_elongatum","Parascyllium elongatum",35.829648774083
399,"Glaucostegus_cemiculus","Glaucostegus cemiculus",35.7781485555498
400,"Glaucostegus_granulatus","Glaucostegus granulatus",35.7781485555498
401,"Carcharhinus_porosus","Carcharhinus porosus",35.679094877836
402,"Heteronarce_garmani","Heteronarce garmani",35.6739929048346
403,"Diplobatis_ommata","Diplobatis ommata",35.3874911210512
404,"Diplobatis_pictus","Diplobatis pictus",35.3874911210512
