"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Psammobatis_bergi",19.7441936226784,17.5080901386324,8.09771791824054,850.83,894.5,0,0,"Psammobatis bergi"
"Asymbolus_parvus",19.7842639392481,19.5568867905015,5.76928216959721,851.06,885,0,0,"Asymbolus parvus"
"Raja_atriventralis",20.5064859218786,17.4669057008524,11.1936947416147,852.34,909,0,0,"Raja atriventralis"
"Rajella_bigelowi",19.9400765487083,20.4483604431875,7.63578962760381,853.11,881.5,0,0,"Rajella bigelowi"
"Dasyatis_laosensis",19.8393336141768,18.9059868008766,7.10406029227229,855.27,888.5,0,0,"Dasyatis laosensis"
"Raja_polystigma",20.0662475913634,18.7455318516421,9.44640318022785,855.53,892.5,0,0,"Raja polystigma"
"Carcharhinus_acronotus",19.6365574788091,20.584808144588,4.52946407117191,855.86,851.5,0,0,"Carcharhinus acronotus"
"Raja_cortezensis",20.2428243482269,17.8267073392073,10.3039980975351,857.56,926.5,0,0,"Raja cortezensis"
"Asymbolus_rubiginosus",19.5368152064507,18.7912097726179,5.61517011054334,858.12,882.5,0,0,"Asymbolus rubiginosus"
"Raja_rondeleti",19.9291034887462,17.5449589008335,9.14119345455679,858.42,914,0,0,"Raja rondeleti"
"Himantura_astra",19.0727378553947,19.0665559225742,3.98000092284775,858.68,890.5,0,0,"Himantura astra"
"Himantura_toshi",19.08176550156,19.0665559225742,3.96497642720315,859.18,891.5,0,0,"Himantura toshi"
"Cephaloscyllium_sufflans",19.4059773169925,17.7090553480219,7.03464641799306,860.18,926,0,0,"Cephaloscyllium sufflans"
"Psammobatis_normani",19.3829778836522,18.5840270519842,6.33208512319768,860.2,900.5,0,0,"Psammobatis normani"
"Raja_ackleyi",19.6283871632115,18.3868862554924,8.49389552275368,861.96,902.5,0,0,"Raja ackleyi"
"Raja_herwigi",19.8479736689489,17.7697385280914,9.12599833785002,862.51,929.5,0,0,"Raja herwigi"
"Raja_rouxi",19.8055073805092,18.208981032955,9.55627079314827,863.96,933.5,0,0,"Raja rouxi"
"Raja_chinensis",19.6848724561384,17.0888484762824,9.36964525177993,865.4,936,0,0,"Raja chinensis"
"Raja_brachyura",19.4250878043624,20.2161364235292,6.66441572667355,868.43,841.5,0,0,"Raja brachyura"
"Pavoraja_alleni",19.0248025896968,19.5101264014296,5.36121728678897,871.63,866.5,0,0,"Pavoraja alleni"
"Leucoraja_fullonica",19.1360076402783,18.1242007817887,6.53785976274966,873.89,925.5,0,0,"Leucoraja fullonica"
"Psammobatis_extenta",18.812752796036,18.0155332700291,6.04979673298591,875.26,922.5,0,0,"Psammobatis extenta"
"Psammobatis_scobina",18.9484423174316,17.2107948226971,7.2669370629468,877.94,959,0,0,"Psammobatis scobina"
"Dasyatis_thetidis",19.0764537583984,19.7390932635498,5.45504579610237,880.06,882.5,0,0,"Dasyatis thetidis"
"Dasyatis_centroura",19.0653924369736,19.864316968209,5.4840647229545,880.79,888,0,0,"Dasyatis centroura"
"Apristurus_pinguis",18.8904090420338,18.5727836835729,5.00259510861053,882.19,874.5,0,0,"Apristurus pinguis"
"Squalus_hemipinnis",19.2583645063556,20.6639720182379,7.2411676095956,882.86,869,0,0,"Squalus hemipinnis"
"Torpedo_torpedo",18.3511386976783,18.2752584149276,3.0060372990779,884.03,922,0,0,"Torpedo torpedo"
"Apristurus_profundorum",18.8180495758072,18.9117371201638,4.63464535054336,884.12,887,0,0,"Apristurus profundorum"
"Squalus_edmundsi",19.1742929292566,20.2106017806584,7.1364888885356,885.02,866,0,0,"Squalus edmundsi"
"Raja_microocellata",18.8217540894873,18.5203715635003,6.18058617855699,885.72,879,0,0,"Raja microocellata"
