"Rank_rho001","species_tree","species","EvoHeritage_rho001","Ancestral_EvoHeritage"
292,"Carcharhinus_amblyrhynchos","Carcharhinus amblyrhynchos",34.283989170042,101.238392991142
293,"Dasyatis_chrysonota","Dasyatis chrysonota",34.2643143376613,98.5077899277736
294,"Mobula_diabolus","Mobula diabolus",34.2201130196836,106.183065095497
295,"Halaelurus_lineatus","Halaelurus lineatus",34.2177218680619,102.424613091996
296,"Sinobatis_bulbicauda","Sinobatis bulbicauda",34.2139752334844,96.0705418226873
297,"Squalus_bucephalus","Squalus bucephalus",34.1654438559217,105.741021129046
298,"Orectolobus_reticulatus","Orectolobus reticulatus",34.1194156657096,100.159498777721
299,"Sinobatis_filicauda","Sinobatis filicauda",34.0943928758896,97.4816309016862
300,"Carcharhinus_fitzroyensis","Carcharhinus fitzroyensis",34.0295970288824,98.3667910316064
301,"Hydrolagus_mccoskeri","Hydrolagus mccoskeri",33.9773860786845,102.958137149997
302,"Stegostoma_fasciatum","Stegostoma fasciatum",33.9214560375627,95.4345744697916
303,"Harriotta_haeckeli","Harriotta haeckeli",33.8672672573422,99.9805240171828
304,"Dipturus_oculus","Dipturus oculus",33.7903773949463,99.5643129850398
305,"Raja_inornata","Raja inornata",33.7528840656246,97.8449528184851
306,"Pteromylaeus_bovinus","Pteromylaeus bovinus",33.7131702300922,96.3052846161222
307,"Apristurus_macrorhynchus","Apristurus macrorhynchus",33.658931432082,101.747960215439
308,"Halaelurus_natalensis","Halaelurus natalensis",33.6099579114352,103.174598542153
309,"Centrophorus_granulosus","Centrophorus granulosus",33.4434619001292,104.563532942479
310,"Scymnodalatias_albicauda","Scymnodalatias albicauda",33.3919177013865,97.5595358357322
311,"Acroteriobatus_ocellatus","Acroteriobatus ocellatus",33.3729470495343,95.3019222412203
312,"Urobatis_jamaicensis","Urobatis jamaicensis",33.3498707555715,96.983012979621
313,"Urogymnus_ukpam","Urogymnus ukpam",33.3042167662816,99.663988465446
314,"Ginglymostoma_cirratum","Ginglymostoma cirratum",33.2731119989225,94.6706472171024
315,"Harriotta_raleighana","Harriotta raleighana",33.270204815156,97.3344962425645
316,"Rhinobatos_horkelii","Rhinobatos horkelii",33.1947364325932,101.219549570255
317,"Centrophorus_tessellatus","Centrophorus tessellatus",33.1892695809383,103.928706066382
318,"Etmopterus_hillianus","Etmopterus hillianus",33.1759318330323,100.112736797251
319,"Scymnodalatias_sherwoodi","Scymnodalatias sherwoodi",33.0284852856458,99.4472036084597
320,"Ctenacis_fehlmanni","Ctenacis fehlmanni",33.0033124958392,96.275696337669
321,"Acroteriobatus_zanzibarensis","Acroteriobatus zanzibarensis",32.9763339040229,99.4351710888018
322,"Dasyatis_pastinaca","Dasyatis pastinaca",32.9748614704939,99.6922189574239
323,"Pteromylaeus_asperrimus","Pteromylaeus asperrimus",32.9379355794057,96.9297983936202
324,"Myliobatis_aquila","Myliobatis aquila",32.8898822095933,96.5167162711707
325,"Orectolobus_floridus","Orectolobus floridus",32.8556132023567,96.6870141981814
326,"Asymbolus_pallidus","Asymbolus pallidus",32.8244020291064,108.498164628839
327,"Dasyatis_rudis","Dasyatis rudis",32.7233623067387,95.8602522362678
328,"Apristurus_japonicus","Apristurus japonicus",32.6505259989458,104.551481645719
329,"Deania_calcea","Deania calcea",32.5154314410756,101.02543239541
