"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Asymbolus galacticus",423,34.7463413097874,401,29.6851855967543,511,2.97161016622801,755,0.290172857612158,-22,88,332,"Asymbolus galacticus","Asymbolus galacticus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Asymbolus occiduus",970,17.2395797631208,991,14.5633581801236,620,2.27632020885912,655,0.323879251871982,21,-350,-315,"Asymbolus occiduus","Asymbolus occiduus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Asymbolus pallidus",383,36.9044834006446,345,32.2491794714177,515,2.86442965364741,677,0.318557254197386,-38,132,294,"Asymbolus pallidus","Asymbolus pallidus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Asymbolus parvus",980,17.0218579551208,998,14.4519810709722,619,2.27644822633201,665,0.321226795413741,18,-361,-315,"Asymbolus parvus","Asymbolus parvus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Asymbolus rubiginosus",993,16.5087598782874,1022,14.0041792770125,597,2.34310623964638,558,0.366800170041016,29,-396,-435,"Asymbolus rubiginosus","Asymbolus rubiginosus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Asymbolus submaculatus",992,16.5087598782874,1020,14.0569681841701,610,2.29571008912305,563,0.365545820372556,28,-382,-429,"Asymbolus submaculatus","Asymbolus submaculatus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Asymbolus vincenti",979,17.0218579551208,987,14.6866140843649,639,2.20816118508683,668,0.320376052436553,8,-340,-311,"Asymbolus vincenti","Asymbolus vincenti","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Atelomycterus baliensis",136,53.5882789284473,121,44.0590656215603,104,10.1307392383867,104,1.92546480728991,-15,-32,-32,"Atelomycterus baliensis","Atelomycterus baliensis","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus","shark"
"Atelomycterus fasciatus",339,38.9450633097807,410,29.3648898680191,172,7.37866264653263,133,1.68184482448008,71,-167,-206,"Atelomycterus fasciatus","Atelomycterus fasciatus","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus","shark"
"Atelomycterus macleayi",340,38.9450633097807,437,28.761648142419,179,7.17038538489748,122,1.72881530950589,97,-161,-218,"Atelomycterus macleayi","Atelomycterus macleayi","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus","shark"
