"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Hexanchus_griseus",59.828533239404,59.9167662668877,10.8368285613838,108.61,0,0,12.3990441332007,12.3906857627402,2.06175598289112,70.27,70.5,1,0.01,4.24760702531491,4.17438924100823,1.1641936749834,28.55,25.5,31,0.31,"Hexanchus griseus",-38.34,-80.06,-41.72
"Heterodontus_mexicanus",66.732651166809,60.7982906370804,24.4095229517603,109.31,5,0.05,13.4618840254959,12.110800491519,6.56292733587225,72.94,67,8,0.08,4.15700021944219,4.10907487724939,1.80629449202148,32.99,32,26,0.26,"Heterodontus mexicanus",-36.37,-76.32,-39.95
"Trygonoptera_ovalis",61.8547546777912,65.0670265803167,12.3178196992962,109.51,0,0,7.8714307517287,7.73827776009606,2.50612647145515,158.39,150,0,0,0.472149701106284,0.407784141125846,0.266613038817914,495.66,500.5,0,0,"Trygonoptera ovalis",48.88,386.15,337.27
"Galeorhinus_galeus",62.840235218251,68.07033504493,17.4078557623174,111.1,0,0,7.59819542852474,7.78341988406709,4.84517367048088,283.01,186,0,0,0.363088209134722,0.351799890463841,0.177313567944425,663.06,608,0,0,"Galeorhinus galeus",171.91,551.96,380.05
"Dalatias_licha",70.6318992979005,68.2824180026758,26.890556607791,111.22,3,0.03,13.8908180675724,14.9268570506588,8.0781745734783,119.17,58,11,0.11,1.51505477878289,1.39836934657513,1.14018843969614,205.56,191,0,0,"Dalatias licha",7.95,94.34,86.39
"Alopias_vulpinus",65.7755882470029,63.4506507099522,20.8365522468157,113.95,0,0,12.0168670237889,12.6195356207305,5.34360621623174,87.74,81,0,0,2.32589350397426,2.36832676027887,1.21199858524585,106.61,83.5,0,0,"Alopias vulpinus",-26.21,-7.34,18.87
"Alopias_pelagicus",64.3620027273968,57.4600368724473,20.8039273157382,117.57,0,0,11.7701798096171,11.5661915555804,5.20819397090257,88.51,87.5,0,0,2.24909299190602,2.3014312262472,1.15409344406733,109.67,84,0,0,"Alopias pelagicus",-29.06,-7.89999999999999,21.16
"Hypogaleus_hyugaensis",62.443221071494,67.6388788942267,17.4640464298733,117.86,0,0,7.43099403980208,7.88345892540882,4.51452332385615,281.52,195,0,0,0.356213311463905,0.337583006768525,0.161634763203054,670.24,644,0,0,"Hypogaleus hyugaensis",163.66,552.38,388.72
"Squaliolus_laticaudus",62.6073009161602,60.9673537537024,17.7832758748572,118.36,0,0,10.7738273276789,11.4078393928889,5.75102657038593,145.92,97.5,0,0,1.42003566256595,1.18758698228232,0.969852717242555,217.44,217,0,0,"Squaliolus laticaudus",27.56,99.08,71.52
"Eusphyra_blochii",56.2210212390519,57.6542330542371,9.09153567314284,125.42,0,0,2.39944142370809,2.30747451885293,1.52412435134732,659.48,596,0,0,0.28210643466884,0.290789982478191,0.0858175503792007,814.77,809.5,0,0,"Eusphyra blochii",534.06,689.35,155.29
