"species","Rank","species_tree.x","ED_github","Rank_rho001","species_tree.y","EvoHeritage_rho001","Ancestral_EvoHeritage","rank_change"
"Carcharhinus borneensis",551,"Carcharhinus_borneensis",30.072465525586,523,"Carcharhinus_borneensis",26.6472322589177,100.156061044704,-28
"Carcharhinus brachyurus",561,"Carcharhinus_brachyurus",29.8549768285985,515,"Carcharhinus_brachyurus",26.9599014062155,97.2510302311349,-46
"Carcharhinus brevipinna",562,"Carcharhinus_brevipinna",29.8549768285985,517,"Carcharhinus_brevipinna",26.9410601859092,99.2622478101784,-45
"Carcharhinus cautus",646,"Carcharhinus_cautus",27.0615657969485,623,"Carcharhinus_cautus",23.9491092139261,101.391757173469,-23
"Carcharhinus cerdale",880,"Carcharhinus_cerdale",19.6849037387056,856,"Carcharhinus_cerdale",18.0509369307319,96.7781839007697,-24
"Carcharhinus coatesi",918,"Carcharhinus_coatesi",18.6223085723723,885,"Carcharhinus_coatesi",17.3984224068699,97.9544083382363,-33
"Carcharhinus dussumieri",674,"Carcharhinus_dussumieri",26.273566735586,616,"Carcharhinus_dussumieri",24.1603258933339,97.4830458359465,-58
"Carcharhinus falciformis",785,"Carcharhinus_falciformis",22.8502054124985,697,"Carcharhinus_falciformis",21.7079255372571,104.672010911569,-88
"Carcharhinus fitzroyensis",334,"Carcharhinus_fitzroyensis",39.1048384469485,300,"Carcharhinus_fitzroyensis",34.0295970288824,98.3667910316064,-34
"Carcharhinus galapagensis",1087,"Carcharhinus_galapagensis",13.8013314683723,1080,"Carcharhinus_galapagensis",12.6602372985583,99.7266818861928,-7
"Carcharhinus hemiodon",532,"Carcharhinus_hemiodon",30.5489719744985,475,"Carcharhinus_hemiodon",27.6757653282865,100.051395755607,-57
"Carcharhinus isodon",680,"Carcharhinus_isodon",26.1853261715318,636,"Carcharhinus_isodon",23.6062466663399,97.6737183283706,-44
"Carcharhinus leiodon",865,"Carcharhinus_leiodon",20.2424791376151,848,"Carcharhinus_leiodon",18.2309708272841,103.026601457247,-17
"Carcharhinus leucas",923,"Carcharhinus_leucas",18.4979357061985,887,"Carcharhinus_leucas",17.275986186498,98.3720523918153,-36
"Carcharhinus limbatus",912,"Carcharhinus_limbatus",18.8221881216151,912,"Carcharhinus_limbatus",16.6115112260775,101.627941564039,0
"Carcharhinus longimanus",1063,"Carcharhinus_longimanus",14.5944364517056,1054,"Carcharhinus_longimanus",13.231726738765,96.4880152319278,-9
"Carcharhinus macloti",552,"Carcharhinus_macloti",30.072465525586,516,"Carcharhinus_macloti",26.94328069779,99.7795462185389,-36
"Carcharhinus melanopterus",645,"Carcharhinus_melanopterus",27.0615657969485,598,"Carcharhinus_melanopterus",24.6964930713857,100.60596086553,-47
